preverb,verb,grammatical,ungrammatical,grammatical_context,ungrammatical_context,grammatical_context_adverb,ungrammatical_context_adverb,grammatical_context_adverb2,ungrammatical_context_adverb2
közre,nyújtja,Nem nyújtja közre,Nem közrenyújtja,Nem nyújtja közre a segítségét,Nem közrenyújtja a segítségét,Nem hiába nyújtja közre a segítségét,Nem hiába közrenyújtja a segítségét,Nem hiába túl nyújtja közre a segítségét,Nem hiába túl közrenyújtja a segítségét
észre,fog,Nem fog észre,Nem észrefog,Nem fog észre a hibát,Nem észrefog a hibát,Nem holnap fog észre a hibát,Nem holnap észrefog a hibát,Nem holnap túl fog észre a hibát,Nem holnap túl észrefog a hibát
észre,jön,Nem jön észre,Nem észrejön,Nem jön észre a változásra,Nem észrejön a változásra,Nem mindenütt jön észre a változásra,Nem mindenütt észrejön a változásra,Nem mindenütt túl jön észre a változásra,Nem mindenütt túl észrejön a változásra
észre,szed,Nem szed észre,Nem észreszed,Nem szed észre a hibákat,Nem észreszed a hibákat,Nem azóta szed észre a hibákat,Nem azóta észreszed a hibákat,Nem azóta túl szed észre a hibákat,Nem azóta túl észreszed a hibákat
észre,kap,Nem kap észre,Nem észrekap,Nem kap észre a különbséget,Nem észrekap a különbséget,Nem először kap észre a különbséget,Nem először észrekap a különbséget,Nem először túl kap észre a különbséget,Nem először túl észrekap a különbséget
észre,találja,Nem találja észre,Nem észretalálja,Nem találja észre a kiutat,Nem észretalálja a kiutat,Nem csaknem találja észre a kiutat,Nem csaknem észretalálja a kiutat,Nem csaknem túl találja észre a kiutat,Nem csaknem túl észretalálja a kiutat
észre,érzékeli,Nem érzékeli észre,Nem észreérzékeli,Nem érzékeli észre a veszélyt,Nem észreérzékeli a veszélyt,Nem igazán érzékeli észre a veszélyt,Nem igazán észreérzékeli a veszélyt,Nem igazán túl érzékeli észre a veszélyt,Nem igazán túl észreérzékeli a veszélyt
észre,ismeri,Nem ismeri észre,Nem észreismeri,Nem ismeri észre a barátját,Nem észreismeri a barátját,Nem ott ismeri észre a barátját,Nem ott észreismeri a barátját,Nem ott túl ismeri észre a barátját,Nem ott túl észreismeri a barátját
észre,figyeli,Nem figyeli észre,Nem észrefigyeli,Nem figyeli észre a mozgást,Nem észrefigyeli a mozgást,Nem ilyenkor figyeli észre a mozgást,Nem ilyenkor észrefigyeli a mozgást,Nem ilyenkor túl figyeli észre a mozgást,Nem ilyenkor túl észrefigyeli a mozgást
észre,látja,Nem látja észre,Nem észrelátja,Nem látja észre a lehetőséget,Nem észrelátja a lehetőséget,Nem okvetlenül látja észre a lehetőséget,Nem okvetlenül észrelátja a lehetőséget,Nem okvetlenül túl látja észre a lehetőséget,Nem okvetlenül túl észrelátja a lehetőséget
végig,hallgat,Nem hallgat végig,Nem végighallgat,Nem hallgat végig a koncertet,Nem végighallgat a koncertet,Nem időközben hallgat végig a koncertet,Nem időközben végighallgat a koncertet,Nem időközben túl hallgat végig a koncertet,Nem időközben túl végighallgat a koncertet
végig,néz,Nem néz végig,Nem végignéz,Nem néz végig a filmet,Nem végignéz a filmet,Nem okvetlenül néz végig a filmet,Nem okvetlenül végignéz a filmet,Nem okvetlenül túl néz végig a filmet,Nem okvetlenül túl végignéz a filmet
végig,olvas,Nem olvas végig,Nem végigolvas,Nem olvas végig a könyvet,Nem végigolvas a könyvet,Nem azonnal olvas végig a könyvet,Nem azonnal végigolvas a könyvet,Nem azonnal túl olvas végig a könyvet,Nem azonnal túl végigolvas a könyvet
végig,fut,Nem fut végig,Nem végigfut,Nem fut végig a távot,Nem végigfut a távot,Nem akkor fut végig a távot,Nem akkor végigfut a távot,Nem akkor túl fut végig a távot,Nem akkor túl végigfut a távot
végig,vezet,Nem vezet végig,Nem végigvezet,Nem vezet végig a túrát,Nem végigvezet a túrát,Nem ott vezet végig a túrát,Nem ott végigvezet a túrát,Nem ott túl vezet végig a túrát,Nem ott túl végigvezet a túrát
végig,ül,Nem ül végig,Nem végigül,Nem ül végig az előadást,Nem végigül az előadást,Nem azóta ül végig az előadást,Nem azóta végigül az előadást,Nem azóta túl ül végig az előadást,Nem azóta túl végigül az előadást
végig,jár,Nem jár végig,Nem végigjár,Nem jár végig a múzeumot,Nem végigjár a múzeumot,Nem aztán jár végig a múzeumot,Nem aztán végigjár a múzeumot,Nem aztán túl jár végig a múzeumot,Nem aztán túl végigjár a múzeumot
végig,tanul,Nem tanul végig,Nem végigtanul,Nem tanul végig az anyagot,Nem végigtanul az anyagot,Nem azután tanul végig az anyagot,Nem azután végigtanul az anyagot,Nem azután túl tanul végig az anyagot,Nem azután túl végigtanul az anyagot
végig,dolgozik,Nem dolgozik végig,Nem végigdolgozik,Nem dolgozik végig a napot,Nem végigdolgozik a napot,Nem azonnal dolgozik végig a napot,Nem azonnal végigdolgozik a napot,Nem azonnal túl dolgozik végig a napot,Nem azonnal túl végigdolgozik a napot
szembe,jön,Nem jön szembe,Nem szembejön,Nem jön szembe a robogó,Nem szembejön a robogó,Nem aznap jön szembe a robogó,Nem aznap szembejön a robogó,Nem aznap túl jön szembe a robogó,Nem aznap túl szembejön a robogó
szembe,megy,Nem megy szembe,Nem szembemegy,Nem megy szembe a törvénnyel,Nem szembemegy a törvénnyel,Nem este megy szembe a törvénnyel,Nem este szembemegy a törvénnyel,Nem este túl megy szembe a törvénnyel,Nem este túl szembemegy a törvénnyel
szembe,áll,Nem áll szembe,Nem szembeáll,Nem áll szembe a problémával,Nem szembeáll a problémával,Nem akkoriban áll szembe a problémával,Nem akkoriban szembeáll a problémával,Nem akkoriban túl áll szembe a problémával,Nem akkoriban túl szembeáll a problémával
szembe,száll,Nem száll szembe,Nem szembeszáll,Nem száll szembe a harcba,Nem szembeszáll a harcba,Nem holnap száll szembe a harcba,Nem holnap szembeszáll a harcba,Nem holnap túl száll szembe a harcba,Nem holnap túl szembeszáll a harcba
szembe,sétál,Nem sétál szembe,Nem szembesétál,Nem sétál szembe a parkban,Nem szembesétál a parkban,Nem azóta sétál szembe a parkban,Nem azóta szembesétál a parkban,Nem azóta túl sétál szembe a parkban,Nem azóta túl szembesétál a parkban
szembe,fut,Nem fut szembe,Nem szembefut,Nem fut szembe a barátjával,Nem szembefut a barátjával,Nem okvetlenül fut szembe a barátjával,Nem okvetlenül szembefut a barátjával,Nem okvetlenül túl fut szembe a barátjával,Nem okvetlenül túl szembefut a barátjával
szembe,talál,Nem talál szembe,Nem szembetalál,Nem talál szembe a szöveget,Nem szembetalál a szöveget,Nem mindenesetre talál szembe a szöveget,Nem mindenesetre szembetalál a szöveget,Nem mindenesetre túl talál szembe a szöveget,Nem mindenesetre túl szembetalál a szöveget
szembe,ütközik,Nem ütközik szembe,Nem szembeütközik,Nem ütközik szembe a kihívásokkal,Nem szembeütközik a kihívásokkal,Nem mindenütt ütközik szembe a kihívásokkal,Nem mindenütt szembeütközik a kihívásokkal,Nem mindenütt túl ütközik szembe a kihívásokkal,Nem mindenütt túl szembeütközik a kihívásokkal
szembe,közelít,Nem közelít szembe,Nem szembeközelít,Nem közelít szembe a feladathoz,Nem szembeközelít a feladathoz,Nem azonnal közelít szembe a feladathoz,Nem azonnal szembeközelít a feladathoz,Nem azonnal túl közelít szembe a feladathoz,Nem azonnal túl szembeközelít a feladathoz
hozzá,fér,Nem fér hozzá,Nem hozzáfér,Nem fér hozzá a titkos iratokhoz,Nem hozzáfér a titkos iratokhoz,Nem mindenütt fér hozzá a titkos iratokhoz,Nem mindenütt hozzáfér a titkos iratokhoz,Nem mindenütt túl fér hozzá a titkos iratokhoz,Nem mindenütt túl hozzáfér a titkos iratokhoz
hozzá,fog,Nem fog hozzá,Nem hozzáfog,Nem fog hozzá a feladathoz,Nem hozzáfog a feladathoz,Nem hiába fog hozzá a feladathoz,Nem hiába hozzáfog a feladathoz,Nem hiába túl fog hozzá a feladathoz,Nem hiába túl hozzáfog a feladathoz
hozzá,nyúl,Nem nyúl hozzá,Nem hozzányúl,Nem nyúl hozzá a forró tálhoz,Nem hozzányúl a forró tálhoz,Nem mindenképpen nyúl hozzá a forró tálhoz,Nem mindenképpen hozzányúl a forró tálhoz,Nem mindenképpen túl nyúl hozzá a forró tálhoz,Nem mindenképpen túl hozzányúl a forró tálhoz
hozzá,kapcsolódik,Nem kapcsolódik hozzá,Nem hozzákapcsolódik,Nem kapcsolódik hozzá a történethez,Nem hozzákapcsolódik a történethez,Nem igazából kapcsolódik hozzá a történethez,Nem igazából hozzákapcsolódik a történethez,Nem igazából túl kapcsolódik hozzá a történethez,Nem igazából túl hozzákapcsolódik a történethez
hozzá,szokik,Nem szokik hozzá,Nem hozzászokik,Nem szokik hozzá az új környezethez,Nem hozzászokik az új környezethez,Nem csaknem szokik hozzá az új környezethez,Nem csaknem hozzászokik az új környezethez,Nem csaknem túl szokik hozzá az új környezethez,Nem csaknem túl hozzászokik az új környezethez
hozzá,hasonlít,Nem hasonlít hozzá,Nem hozzáhasonlít,Nem hasonlít hozzá a másik példához,Nem hozzáhasonlít a másik példához,Nem okvetlenül hasonlít hozzá a másik példához,Nem okvetlenül hozzáhasonlít a másik példához,Nem okvetlenül túl hasonlít hozzá a másik példához,Nem okvetlenül túl hozzáhasonlít a másik példához
hozzá,illik,Nem illik hozzá,Nem hozzáillik,Nem illik hozzá a ruha,Nem hozzáillik a ruha,Nem mindenesetre illik hozzá a ruha,Nem mindenesetre hozzáillik a ruha,Nem mindenesetre túl illik hozzá a ruha,Nem mindenesetre túl hozzáillik a ruha
bele,esik,Nem esik bele,Nem beleesik,Nem esik bele a vízbe,Nem beleesik a vízbe,Nem aznap esik bele a vízbe,Nem aznap beleesik a vízbe,Nem aznap túl esik bele a vízbe,Nem aznap túl beleesik a vízbe
bele,fog,Nem fog bele,Nem belefog,Nem fog bele a projektbe,Nem belefog a projektbe,Nem ezért fog bele a projektbe,Nem ezért belefog a projektbe,Nem ezért túl fog bele a projektbe,Nem ezért túl belefog a projektbe
bele,kap,Nem kap bele,Nem belekap,Nem kap bele a beszélgetésbe,Nem belekap a beszélgetésbe,Nem igazán kap bele a beszélgetésbe,Nem igazán belekap a beszélgetésbe,Nem igazán túl kap bele a beszélgetésbe,Nem igazán túl belekap a beszélgetésbe
bele,lát,Nem lát bele,Nem belelát,Nem lát bele a jövőbe,Nem belelát a jövőbe,Nem azóta lát bele a jövőbe,Nem azóta belelát a jövőbe,Nem azóta túl lát bele a jövőbe,Nem azóta túl belelát a jövőbe
bele,mélyed,Nem mélyed bele,Nem belemélyed,Nem mélyed bele a részletekbe,Nem belemélyed a részletekbe,Nem ilyenkor mélyed bele a részletekbe,Nem ilyenkor belemélyed a részletekbe,Nem ilyenkor túl mélyed bele a részletekbe,Nem ilyenkor túl belemélyed a részletekbe
bele,tör,Nem tör bele,Nem beletör,Nem tör bele az ajtót,Nem beletör az ajtót,Nem csaknem tör bele az ajtót,Nem csaknem beletör az ajtót,Nem csaknem túl tör bele az ajtót,Nem csaknem túl beletör az ajtót
bele,ütközik,Nem ütközik bele,Nem beleütközik,Nem ütközik bele az akadályba,Nem beleütközik az akadályba,Nem amiatt ütközik bele az akadályba,Nem amiatt beleütközik az akadályba,Nem amiatt túl ütközik bele az akadályba,Nem amiatt túl beleütközik az akadályba
össze,szedi,Nem szedi össze,Nem összeszedi,Nem szedi össze a játékokat,Nem összeszedi a játékokat,Nem akkor szedi össze a játékokat,Nem akkor összeszedi a játékokat,Nem akkor túl szedi össze a játékokat,Nem akkor túl összeszedi a játékokat
össze,rakja,Nem rakja össze,Nem összerakja,Nem rakja össze a puzzle-t,Nem összerakja a puzzle-t,Nem először rakja össze a puzzle-t,Nem először összerakja a puzzle-t,Nem először túl rakja össze a puzzle-t,Nem először túl összerakja a puzzle-t
össze,köti,Nem köti össze,Nem összeköti,Nem köti össze a cipőfűzőt,Nem összeköti a cipőfűzőt,Nem korábban köti össze a cipőfűzőt,Nem korábban összeköti a cipőfűzőt,Nem korábban túl köti össze a cipőfűzőt,Nem korábban túl összeköti a cipőfűzőt
össze,függ,Nem függ össze,Nem összefügg,Nem függ össze a két esemény,Nem összefügg a két esemény,Nem azonnal függ össze a két esemény,Nem azonnal összefügg a két esemény,Nem azonnal túl függ össze a két esemény,Nem azonnal túl összefügg a két esemény
össze,tör,Nem tör össze,Nem összetör,Nem tör össze a vázát,Nem összetör a vázát,Nem igazán tör össze a vázát,Nem igazán összetör a vázát,Nem igazán túl tör össze a vázát,Nem igazán túl összetör a vázát
össze,omol,Nem omol össze,Nem összeomol,Nem omol össze az épület,Nem összeomol az épület,Nem okvetlenül omol össze az épület,Nem okvetlenül összeomol az épület,Nem okvetlenül túl omol össze az épület,Nem okvetlenül túl összeomol az épület
utol,hagyja,Nem hagyja utol,Nem utolhagyja,Nem hagyja utol a versenyzőt,Nem utolhagyja a versenyzőt,Nem először hagyja utol a versenyzőt,Nem először utolhagyja a versenyzőt,Nem először túl hagyja utol a versenyzőt,Nem először túl utolhagyja a versenyzőt
utol,kapja,Nem kapja utol,Nem utolkapja,Nem kapja utol a futót,Nem utolkapja a futót,Nem azután kapja utol a futót,Nem azután utolkapja a futót,Nem azután túl kapja utol a futót,Nem azután túl utolkapja a futót
utol,fut,Nem fut utol,Nem utolfut,Nem fut utol a csapat,Nem utolfut a csapat,Nem ott fut utol a csapat,Nem ott utolfut a csapat,Nem ott túl fut utol a csapat,Nem ott túl utolfut a csapat
utol,megy,Nem megy utol,Nem utolmegy,Nem megy utol a kocsival,Nem utolmegy a kocsival,Nem mindenütt megy utol a kocsival,Nem mindenütt utolmegy a kocsival,Nem mindenütt túl megy utol a kocsival,Nem mindenütt túl utolmegy a kocsival
utol,jön,Nem jön utol,Nem utoljön,Nem jön utol a segítség,Nem utoljön a segítség,Nem azóta jön utol a segítség,Nem azóta utoljön a segítség,Nem azóta túl jön utol a segítség,Nem azóta túl utoljön a segítség
utol,szeg,Nem szeg utol,Nem utolszeg,Nem szeg utol a határidőt,Nem utolszeg a határidőt,Nem holnap szeg utol a határidőt,Nem holnap utolszeg a határidőt,Nem holnap túl szeg utol a határidőt,Nem holnap túl utolszeg a határidőt
utol,ver,Nem ver utol,Nem utolver,Nem ver utol a riválist,Nem utolver a riválist,Nem azért ver utol a riválist,Nem azért utolver a riválist,Nem azért túl ver utol a riválist,Nem azért túl utolver a riválist
utol,támad,Nem támad utol,Nem utoltámad,Nem támad utol a menekülőt,Nem utoltámad a menekülőt,Nem mindenütt támad utol a menekülőt,Nem mindenütt utoltámad a menekülőt,Nem mindenütt túl támad utol a menekülőt,Nem mindenütt túl utoltámad a menekülőt
utol,üt,Nem üt utol,Nem utolüt,Nem üt utol a labdát,Nem utolüt a labdát,Nem azután üt utol a labdát,Nem azután utolüt a labdát,Nem azután túl üt utol a labdát,Nem azután túl utolüt a labdát
oda,teszi,Nem teszi oda,Nem odateszi,Nem teszi oda a kulcsot,Nem odateszi a kulcsot,Nem holnap teszi oda a kulcsot,Nem holnap odateszi a kulcsot,Nem holnap túl teszi oda a kulcsot,Nem holnap túl odateszi a kulcsot
oda,viszi,Nem viszi oda,Nem odaviszi,Nem viszi oda a csomagot,Nem odaviszi a csomagot,Nem azonnal viszi oda a csomagot,Nem azonnal odaviszi a csomagot,Nem azonnal túl viszi oda a csomagot,Nem azonnal túl odaviszi a csomagot
oda,megy,Nem megy oda,Nem odamegy,Nem megy oda a boltba,Nem odamegy a boltba,Nem bármikor megy oda a boltba,Nem bármikor odamegy a boltba,Nem bármikor túl megy oda a boltba,Nem bármikor túl odamegy a boltba
oda,jön,Nem jön oda,Nem odajön,Nem jön oda a segítség,Nem odajön a segítség,Nem időközben jön oda a segítség,Nem időközben odajön a segítség,Nem időközben túl jön oda a segítség,Nem időközben túl odajön a segítség
oda,áll,Nem áll oda,Nem odaáll,Nem áll oda a falhoz,Nem odaáll a falhoz,Nem igazából áll oda a falhoz,Nem igazából odaáll a falhoz,Nem igazából túl áll oda a falhoz,Nem igazából túl odaáll a falhoz
oda,figyel,Nem figyel oda,Nem odafigyel,Nem figyel oda a tanárra,Nem odafigyel a tanárra,Nem azért figyel oda a tanárra,Nem azért odafigyel a tanárra,Nem azért túl figyel oda a tanárra,Nem azért túl odafigyel a tanárra
oda,adja,Nem adja oda,Nem odaadja,Nem adja oda a tárgyat,Nem odaadja a tárgyat,Nem este adja oda a tárgyat,Nem este odaadja a tárgyat,Nem este túl adja oda a tárgyat,Nem este túl odaadja a tárgyat
oda,mutatja,Nem mutatja oda,Nem odamutatja,Nem mutatja oda a helyet,Nem odamutatja a helyet,Nem ezért mutatja oda a helyet,Nem ezért odamutatja a helyet,Nem ezért túl mutatja oda a helyet,Nem ezért túl odamutatja a helyet
oda,helyezi,Nem helyezi oda,Nem odahelyezi,Nem helyezi oda a széket,Nem odahelyezi a széket,Nem korábban helyezi oda a széket,Nem korábban odahelyezi a széket,Nem korábban túl helyezi oda a széket,Nem korábban túl odahelyezi a széket
szét,szórja,Nem szórja szét,Nem szétszórja,Nem szórja szét a magokat,Nem szétszórja a magokat,Nem este szórja szét a magokat,Nem este szétszórja a magokat,Nem este túl szórja szét a magokat,Nem este túl szétszórja a magokat
szét,szedi,Nem szedi szét,Nem szétszedi,Nem szedi szét a darabokat,Nem szétszedi a darabokat,Nem emiatt szedi szét a darabokat,Nem emiatt szétszedi a darabokat,Nem emiatt túl szedi szét a darabokat,Nem emiatt túl szétszedi a darabokat
szét,töri,Nem töri szét,Nem széttöri,Nem töri szét a tányért,Nem széttöri a tányért,Nem bármikor töri szét a tányért,Nem bármikor széttöri a tányért,Nem bármikor túl töri szét a tányért,Nem bármikor túl széttöri a tányért
szét,válik,Nem válik szét,Nem szétválik,Nem válik szét a páros,Nem szétválik a páros,Nem mindenképpen válik szét a páros,Nem mindenképpen szétválik a páros,Nem mindenképpen túl válik szét a páros,Nem mindenképpen túl szétválik a páros
szét,feszíti,Nem feszíti szét,Nem szétfeszíti,Nem feszíti szét a karját,Nem szétfeszíti a karját,Nem holnap feszíti szét a karját,Nem holnap szétfeszíti a karját,Nem holnap túl feszíti szét a karját,Nem holnap túl szétfeszíti a karját
szét,terjeszti,Nem terjeszti szét,Nem szétterjeszti,Nem terjeszti szét a pletykát,Nem szétterjeszti a pletykát,Nem akkoriban terjeszti szét a pletykát,Nem akkoriban szétterjeszti a pletykát,Nem akkoriban túl terjeszti szét a pletykát,Nem akkoriban túl szétterjeszti a pletykát
szét,fújja,Nem fújja szét,Nem szétfújja,Nem fújja szét a gyertyát,Nem szétfújja a gyertyát,Nem akkor fújja szét a gyertyát,Nem akkor szétfújja a gyertyát,Nem akkor túl fújja szét a gyertyát,Nem akkor túl szétfújja a gyertyát
szét,hordja,Nem hordja szét,Nem széthordja,Nem hordja szét a földet,Nem széthordja a földet,Nem holnap hordja szét a földet,Nem holnap széthordja a földet,Nem holnap túl hordja szét a földet,Nem holnap túl széthordja a földet
végre,viszi,Nem viszi végre,Nem végreviszi,Nem viszi végre a tervet,Nem végreviszi a tervet,Nem mindig viszi végre a tervet,Nem mindig végreviszi a tervet,Nem mindig túl viszi végre a tervet,Nem mindig túl végreviszi a tervet
végre,vágja,Nem vágja végre,Nem végrevágja,Nem vágja végre a feladatot,Nem végrevágja a feladatot,Nem mindjárt vágja végre a feladatot,Nem mindjárt végrevágja a feladatot,Nem mindjárt túl vágja végre a feladatot,Nem mindjárt túl végrevágja a feladatot
végre,teszi,Nem teszi végre,Nem végreteszi,Nem teszi végre a munkát,Nem végreteszi a munkát,Nem mindenképpen teszi végre a munkát,Nem mindenképpen végreteszi a munkát,Nem mindenképpen túl teszi végre a munkát,Nem mindenképpen túl végreteszi a munkát
végre,jön,Nem jön végre,Nem végrejön,Nem jön végre a nyár,Nem végrejön a nyár,Nem aznap jön végre a nyár,Nem aznap végrejön a nyár,Nem aznap túl jön végre a nyár,Nem aznap túl végrejön a nyár
végre,megy,Nem megy végre,Nem végremegy,Nem megy végre az ügy,Nem végremegy az ügy,Nem aztán megy végre az ügy,Nem aztán végremegy az ügy,Nem aztán túl megy végre az ügy,Nem aztán túl végremegy az ügy
végre,éri,Nem éri végre,Nem végreéri,Nem éri végre a célba,Nem végreéri a célba,Nem bármikor éri végre a célba,Nem bármikor végreéri a célba,Nem bármikor túl éri végre a célba,Nem bármikor túl végreéri a célba
végre,hozza,Nem hozza végre,Nem végrehozza,Nem hozza végre a döntést,Nem végrehozza a döntést,Nem mindjárt hozza végre a döntést,Nem mindjárt végrehozza a döntést,Nem mindjárt túl hozza végre a döntést,Nem mindjárt túl végrehozza a döntést
végre,követi,Nem követi végre,Nem végreköveti,Nem követi végre a parancsot,Nem végreköveti a parancsot,Nem mindenesetre követi végre a parancsot,Nem mindenesetre végreköveti a parancsot,Nem mindenesetre túl követi végre a parancsot,Nem mindenesetre túl végreköveti a parancsot
végre,valósítja,Nem valósítja végre,Nem végrevalósítja,Nem valósítja végre az elképzelést,Nem végrevalósítja az elképzelést,Nem időközben valósítja végre az elképzelést,Nem időközben végrevalósítja az elképzelést,Nem időközben túl valósítja végre az elképzelést,Nem időközben túl végrevalósítja az elképzelést
létre,hozza,Nem hozza létre,Nem létrehozza,Nem hozza létre a szervezetet,Nem létrehozza a szervezetet,Nem amiatt hozza létre a szervezetet,Nem amiatt létrehozza a szervezetet,Nem amiatt túl hozza létre a szervezetet,Nem amiatt túl létrehozza a szervezetet
létre,létesíti,Nem létesíti létre,Nem létrelétesíti,Nem létesíti létre az intézményt,Nem létrelétesíti az intézményt,Nem akkor létesíti létre az intézményt,Nem akkor létrelétesíti az intézményt,Nem akkor túl létesíti létre az intézményt,Nem akkor túl létrelétesíti az intézményt
létre,alapítja,Nem alapítja létre,Nem létrealapítja,Nem alapítja létre a céget,Nem létrealapítja a céget,Nem korábban alapítja létre a céget,Nem korábban létrealapítja a céget,Nem korábban túl alapítja létre a céget,Nem korábban túl létrealapítja a céget
létre,teremti,Nem teremti létre,Nem létreteremti,Nem teremti létre a műalkotást,Nem létreteremti a műalkotást,Nem igazából teremti létre a műalkotást,Nem igazából létreteremti a műalkotást,Nem igazából túl teremti létre a műalkotást,Nem igazából túl létreteremti a műalkotást
létre,szüli,Nem szüli létre,Nem létreszüli,Nem szüli létre az ötletet,Nem létreszüli az ötletet,Nem azóta szüli létre az ötletet,Nem azóta létreszüli az ötletet,Nem azóta túl szüli létre az ötletet,Nem azóta túl létreszüli az ötletet
létre,válik,Nem válik létre,Nem létreválik,Nem válik létre a barátság,Nem létreválik a barátság,Nem bármikor válik létre a barátság,Nem bármikor létreválik a barátság,Nem bármikor túl válik létre a barátság,Nem bármikor túl létreválik a barátság
létre,állítja,Nem állítja létre,Nem létreállítja,Nem állítja létre a rekordot,Nem létreállítja a rekordot,Nem holnap állítja létre a rekordot,Nem holnap létreállítja a rekordot,Nem holnap túl állítja létre a rekordot,Nem holnap túl létreállítja a rekordot
létre,mintázza,Nem mintázza létre,Nem létremintázza,Nem mintázza létre a szobrot,Nem létremintázza a szobrot,Nem csaknem mintázza létre a szobrot,Nem csaknem létremintázza a szobrot,Nem csaknem túl mintázza létre a szobrot,Nem csaknem túl létremintázza a szobrot
létre,alkotja,Nem alkotja létre,Nem létrealkotja,Nem alkotja létre az alkotmányt,Nem létrealkotja az alkotmányt,Nem holnap alkotja létre az alkotmányt,Nem holnap létrealkotja az alkotmányt,Nem holnap túl alkotja létre az alkotmányt,Nem holnap túl létrealkotja az alkotmányt
együtt,él,Nem él együtt,Nem együttél,Nem él együtt a pár,Nem együttél a pár,Nem okvetlenül él együtt a pár,Nem okvetlenül együttél a pár,Nem okvetlenül túl él együtt a pár,Nem okvetlenül túl együttél a pár
együtt,dolgozik,Nem dolgozik együtt,Nem együttdolgozik,Nem dolgozik együtt a csapat,Nem együttdolgozik a csapat,Nem azonnal dolgozik együtt a csapat,Nem azonnal együttdolgozik a csapat,Nem azonnal túl dolgozik együtt a csapat,Nem azonnal túl együttdolgozik a csapat
együtt,jár,Nem jár együtt,Nem együttjár,Nem jár együtt a páros,Nem együttjár a páros,Nem ezért jár együtt a páros,Nem ezért együttjár a páros,Nem ezért túl jár együtt a páros,Nem ezért túl együttjár a páros
együtt,tanul,Nem tanul együtt,Nem együtttanul,Nem tanul együtt a diákok,Nem együtttanul a diákok,Nem mindjárt tanul együtt a diákok,Nem mindjárt együtttanul a diákok,Nem mindjárt túl tanul együtt a diákok,Nem mindjárt túl együtttanul a diákok
együtt,énekel,Nem énekel együtt,Nem együtténekel,Nem énekel együtt a kórus,Nem együtténekel a kórus,Nem azonnal énekel együtt a kórus,Nem azonnal együtténekel a kórus,Nem azonnal túl énekel együtt a kórus,Nem azonnal túl együtténekel a kórus
együtt,lakik,Nem lakik együtt,Nem együttlakik,Nem lakik együtt a testvérek,Nem együttlakik a testvérek,Nem akkor lakik együtt a testvérek,Nem akkor együttlakik a testvérek,Nem akkor túl lakik együtt a testvérek,Nem akkor túl együttlakik a testvérek
együtt,van,Nem van együtt,Nem együttvan,Nem van együtt a család,Nem együttvan a család,Nem azért van együtt a család,Nem azért együttvan a család,Nem azért túl van együtt a család,Nem azért túl együttvan a család
együtt,tart,Nem tart együtt,Nem együtttart,Nem tart együtt az eseményt,Nem együtttart az eseményt,Nem azonnal tart együtt az eseményt,Nem azonnal együtttart az eseményt,Nem azonnal túl tart együtt az eseményt,Nem azonnal túl együtttart az eseményt
együtt,szól,Nem szól együtt,Nem együttszól,Nem szól együtt a zeneszám,Nem együttszól a zeneszám,Nem ott szól együtt a zeneszám,Nem ott együttszól a zeneszám,Nem ott túl szól együtt a zeneszám,Nem ott túl együttszól a zeneszám
hátra,megy,Nem megy hátra,Nem hátramegy,Nem megy hátra a lépcsőn,Nem hátramegy a lépcsőn,Nem mindenütt megy hátra a lépcsőn,Nem mindenütt hátramegy a lépcsőn,Nem mindenütt túl megy hátra a lépcsőn,Nem mindenütt túl hátramegy a lépcsőn
hátra,lép,Nem lép hátra,Nem hátralép,Nem lép hátra a lépcsőfokról,Nem hátralép a lépcsőfokról,Nem este lép hátra a lépcsőfokról,Nem este hátralép a lépcsőfokról,Nem este túl lép hátra a lépcsőfokról,Nem este túl hátralép a lépcsőfokról
hátra,szalad,Nem szalad hátra,Nem hátraszalad,Nem szalad hátra a kertbe,Nem hátraszalad a kertbe,Nem mindig szalad hátra a kertbe,Nem mindig hátraszalad a kertbe,Nem mindig túl szalad hátra a kertbe,Nem mindig túl hátraszalad a kertbe
hátra,fut,Nem fut hátra,Nem hátrafut,Nem fut hátra a pályán,Nem hátrafut a pályán,Nem bármikor fut hátra a pályán,Nem bármikor hátrafut a pályán,Nem bármikor túl fut hátra a pályán,Nem bármikor túl hátrafut a pályán
hátra,tolja,Nem tolja hátra,Nem hátratolja,Nem tolja hátra a széket,Nem hátratolja a széket,Nem aznap tolja hátra a széket,Nem aznap hátratolja a széket,Nem aznap túl tolja hátra a széket,Nem aznap túl hátratolja a széket
hátra,helyezi,Nem helyezi hátra,Nem hátrahelyezi,Nem helyezi hátra a táskát,Nem hátrahelyezi a táskát,Nem amiatt helyezi hátra a táskát,Nem amiatt hátrahelyezi a táskát,Nem amiatt túl helyezi hátra a táskát,Nem amiatt túl hátrahelyezi a táskát
hátra,veti,Nem veti hátra,Nem hátraveti,Nem veti hátra a fejét,Nem hátraveti a fejét,Nem mindenesetre veti hátra a fejét,Nem mindenesetre hátraveti a fejét,Nem mindenesetre túl veti hátra a fejét,Nem mindenesetre túl hátraveti a fejét
hátra,marad,Nem marad hátra,Nem hátramarad,Nem marad hátra a versenyben,Nem hátramarad a versenyben,Nem mindenképpen marad hátra a versenyben,Nem mindenképpen hátramarad a versenyben,Nem mindenképpen túl marad hátra a versenyben,Nem mindenképpen túl hátramarad a versenyben
